IDENTIFIER,GSM14498,GSM14499,GSM14500,GSM14501,GSM14513,GSM14514,GSM14515,GSM14516,GSM14506,GSM14507,GSM14508,GSM14502,GSM14503,GSM14504,GSM14505,GSM14509,GSM14510,GSM14511,GSM14512
ETF1,2634,2644.2,2443.1,2597.3,3083.7,3029.9,2899.3,3007.1,2342.2,2859,2769.4,3188.5,3019.3,2496.7,3023.7,3289,3479.3,3196.8,3556.8
SNW1,961.7,1400.9,1230.7,1368.5,971.8,1375.2,1456,1439.6,1261.9,1245.7,1355.6,928,1261,1247.8,1254.1,826.8,1248.7,1321.7,1569.9
GLB1,2429.1,1450.4,1488.3,1433.7,1787.5,1441.6,1257.5,1246.8,1415.4,1280.1,1164.9,2164.9,1347.8,1374.5,1207.5,1809.3,1267.2,1231.8,1321
NME1,3960.5,6357.5,6059.6,6564.1,4460.4,6768.5,7260.2,6482.3,6980.6,6227.2,6169.9,4610.3,5568.9,5827.2,5559.9,3779.7,6854.1,6664,6188.3
PODXL,478.9,584.5,524.7,640.4,444.7,618.5,620.8,642.7,594.8,534.1,540.7,430.2,598.3,563.6,574,444.6,421,493.2,438.6
FAT1,1661.2,1929.6,2086.7,2028.8,1652.7,1661.1,1747.4,2040,1637.5,1520.1,1710.7,1447.9,1757.3,1971.1,2081.6,1840.6,1519,1477.3,1297.4
TMX4,284.9,519.3,458.3,435.3,540.3,289.2,326.1,318.3,639.3,398.3,329.9,282.5,313.2,322.1,401.9,234.3,393.7,363.2,300.2
TMX4,517.9,706.2,668.2,560.5,435.3,409.1,655.1,436.2,434,508.9,509.4,527.1,608.7,470.8,548.6,473.9,385.4,424.4,535.6
SEC23B,148,159.4,144.5,146.6,167.1,167.7,169.8,247.8,183.2,162.2,167.6,129.5,151.2,219.6,229.4,119.8,177.6,175.5,184.6
SEC23B,358.6,438.9,367.2,371.4,346,382.4,378.7,365,549.7,448.7,434.8,404.9,418.2,455,369.1,377.8,398.4,450.2,467.5
DDX39A,1332.6,1493.7,1451.6,1475.6,1151.6,1460.7,1478.1,1326.2,1240.8,1402.7,1255.4,1077.7,1219.4,1259.9,1170.4,1135.7,1815.6,1610.4,1674.6
SFPQ,485.7,625.6,602.7,640.7,728.3,620.5,415.4,532.3,755.7,726.4,747.4,645.8,723.4,824.9,770.7,594.1,458.9,580.5,838.4
SFPQ,2136.1,3907.9,4218.1,3427,1963.3,3214.4,3230,3005.6,3420.6,3415.4,2934,2109.3,3638,3462.7,2953.2,2310.7,3231.4,3798.1,3251.9
IRAK1,8866.2,11590.1,11109,11444.9,6123.2,8079.3,7533,8421.8,8720.7,7793,8594.7,6234.4,5730.9,6223.2,8257.4,5643.4,8138.9,8475.5,8941.3
TXNL1,4540.3,4469.7,4704.6,4841,4157.4,4590.5,4792.5,4330.8,4320.9,4587.3,4535.8,4755,4753.4,4975.5,5557.2,3968.9,4045.4,4217.7,4035
SMC1A,1738.8,1911.9,1948.3,1798.5,1767,1756.1,1755.4,1796.5,1376.4,1669.6,1417,1857,1606.4,1702.7,1583.4,1537.1,1439.5,1374.6,1422.9
ANXA2,26606.9,40155.2,38937.3,51916.4,30073.8,25674.8,30677.8,34049.6,30028.3,28660.1,39036,30588.3,37575.9,36689.2,42630.6,26698.2,25030.3,32243.9,35659.9
NISCH,568.5,611.1,529.9,634,544.4,622.5,569.8,617.7,427.6,488.6,564.6,592.6,502.9,546.2,567.2,479.2,413.7,494.7,410.4
EIF3H,6991.4,8671.3,9255.8,9292.5,6301.5,6961.5,7532.4,8193.5,6991.9,7138.9,7490.6,6757.7,7563.4,7065.7,7707.4,5465.2,7635.4,7542.2,8342.7
ZC3H15,3560.5,1975.1,1863.6,1779.5,3452.8,1848.7,1755,1982.1,1930.1,2164.3,2027.3,3822.2,2185.3,2015.4,2025.5,3879.1,2155.3,2150.5,1838.8
PPP4R1,1420.4,1391.2,1328.8,1416.5,1318,1618.1,1403.3,1385,1067.9,1150.2,1282.5,1373.6,1368.6,1170,1190,1606,1622.8,1494.6,1296.7
ZC3H15,1639.8,1451.8,1474,1428.4,1759.7,1767.4,1443.9,1627.9,1853.3,1744.2,1521.2,1611.8,1674.3,1698.2,1701.5,2017.2,1620.5,1666.2,1680.4
KRT18,24889.4,35118.9,38104.6,45661.2,29336.9,28419.9,34103.2,33494,33333,28809.2,33838.5,29147.4,30552.2,33354.1,34177.6,26236.2,26897.1,31054.2,31363.2
COX7A2,4733.3,7152.4,6947.1,6397.9,6123.3,8161.4,7917.9,7904.5,5734,6947.5,5774,6433.3,6672.7,6182.2,6511.5,4591.2,7121.1,6427.4,7964.3
INPPL1,345.3,303.7,407.7,493.7,305,347.1,468.3,387.3,394.4,357.6,387.9,374,403.4,571.2,458.7,540.9,367,378.1,337.2
OAT,2199.8,2086.3,2028.1,1945.5,2392.2,2349.9,2277.3,2212.7,2250.6,2527,2418.8,2221.6,2534.5,2055.7,2473.1,2257.5,2102.8,2012,2337.2
PHB2,7061.3,7157.9,7200.8,7521.6,6970.1,6894,7918.7,8108,6938.1,7078,7887.9,6776.5,6237.5,6150.4,6201.7,6481.1,6355.4,7971.5,7296.6
IFITM1,684.1,300.5,228.6,491,970.2,279.2,330.2,259.5,184.2,255.7,89.6,893.4,225.8,219.7,209,1137.4,239.8,274.3,404.9
PPP1R12A,334.8,604.7,583.2,561,343.5,388.8,578.2,486.4,612.3,790.3,738.9,558,615.2,471.9,583.7,390.2,442.1,469.8,561.2
PPP1R12A,815.8,753.4,861.8,614.4,716.9,1035.4,919.4,915.3,616.2,818.5,601.1,954.3,837.1,816.3,819.7,816.9,777.9,692.3,767.4
PPP1R12A,338,415.7,297.5,255.8,429.7,241.6,219.4,168.2,307.4,401.4,324.9,327.1,405.3,414.6,386.5,414.3,360.2,364.9,328.3
CNN2,1239.3,1011.8,1104.4,1143.3,983.4,1084.1,965.8,1184,1096.1,947.5,1093.8,1046.6,974.8,949,979.2,948.6,967,975.7,918.8
PWP1,2668.1,3252.2,3007.6,3171,3270.9,2055.8,2262.8,2043.4,2595.4,2380.7,2475.1,2967.9,3155.2,3010.9,2903.9,3052.1,2623.1,2682.3,2473.8
PWP1,656.6,680.8,617.6,537.1,749.9,621.6,569.9,587.8,753.7,678.2,781.4,516.9,650.6,722.4,688.9,679.6,692,586.1,615
PWP1,1871.2,2276.2,1998,1890.4,1711.2,2343.1,2056.9,2122.1,2085.3,1928.7,2106.4,1603,2265.5,2087.2,2016.9,1753.6,2194,2228.7,2291.6
ICMT,1352.7,1321.7,1208.8,1535.2,1136.2,1030.2,1132.8,1001.3,1017.2,1261.6,1266.4,1129,1099,1141.6,1174.2,1148.4,1026.8,1137.8,982.1
ICMT,51.5,59.4,9,24.2,20.1,74.5,54.6,15.8,54.3,22.4,59.9,60.8,66.3,42.9,40.1,45.8,22.3,40.8,47.4
ICMT,601.1,634.8,558.2,633.1,585.3,724.4,696.4,797.6,771.9,640.7,607,443.2,494.2,597.5,704.1,457.7,516.9,476.9,510.8
ALDH9A1,2188.7,2196.8,1943.2,1942.4,1826.1,2123.5,2208.8,2234.6,1479.6,1897.6,1713.6,2098.3,1557.8,1492,1605.2,1772.1,2055.9,1923.8,1517.5
AP1G2,425.2,298.5,355.3,269.3,498.2,469.7,478.5,290.7,178.2,505,215.3,280.8,268.3,384.7,241.2,326.1,312.9,298.8,260.3
RUVBL1,1022.7,946.3,899.6,890.8,1070.6,1184,1163.4,1080.8,1013.1,1343.5,1316.1,884.1,1125.1,1030.2,1086.3,1239.6,1279.4,1267.8,1330.3
CALD1,10.3,10,9.6,7.1,23.9,11,13.7,72.8,30.5,11.9,11.4,21.5,7.9,17.7,43.3,12.5,10.8,8.4,6.4
CALD1,37.5,23.6,5.1,12.8,3.3,10.2,10.4,8.6,6.7,2.6,11.7,10.7,11.2,11.8,6.9,13.6,6.7,2.3,2.7
CALD1,43.3,2.3,10.2,2.8,2.3,13.7,2,1.2,37.7,27.6,33.9,3.2,4.4,50.6,25.8,15.5,12.9,2.4,7.3
GPAA1,1536.6,1118.2,1184.6,1282.7,1236.2,1638.5,1427.5,1890.7,1175.4,1544.2,1284.6,1690.5,1139,1227,1232,1254.4,1326.9,1289.4,1452
PRDX3,3399.2,4082.8,4251.5,4315.2,3189.9,3323.8,3409.8,3381.8,3167.5,3556.9,3519.2,3377.5,3785.8,3807.3,4008.9,2979.1,3479.5,3512.3,3995.7
MBTPS1,777.1,793.4,714.1,640.4,1031.9,716.3,791.6,765.5,561.1,797.1,860.2,872,659,721.9,787.6,838,502.7,574.7,649.5
NBL1,827.8,625.2,381.6,531.3,423.3,781.6,908.5,973.4,336.9,636.2,660.6,509.8,537,341.4,380.3,685.3,694.3,579.5,611.6
SND1,1094.8,752.4,1026.2,657.1,840.6,925.7,1085.8,1249.8,927.8,948.2,1053.5,965.4,958.3,870,1067.3,883,894.3,968.2,880.9
DARS,1945.9,1188.9,1027.8,1232.1,2244.5,942.5,947,808.4,1426.3,1159.3,1102.9,3633.7,1508.5,1440.1,1497,2382,1144.1,1371.6,1362
DARS,1586.5,1062.1,1187.5,780.2,1256,1190,1330.3,985.8,910.3,1104.7,1006.1,1548.3,1055.5,1160.4,1354.9,1246.1,1197.2,1085.9,1381.4
INSIG1,1201.6,904.2,815.4,903.1,914.5,894.5,1072.2,942.7,818.6,1158,1236.2,1019.6,882.7,1068.4,927.7,963,1202.6,1155.3,1012.5
INSIG1,1790.5,1902.8,1796.8,1537.8,2047,1510.2,1524.9,1492.9,1529,1792,1867,2140.3,2320.6,2399.7,2267.8,2047.8,1703.2,1844.3,2012.9
INSIG1,1540.8,1552.2,1463.2,1148.3,2123.8,1237.2,1113.6,1017.8,1840.5,1609,1249.6,1522.5,1583.6,1611.2,1371.3,2138.5,1760.6,2074.5,1726.4
RRAGA,1738.8,1569.7,1470.8,1376.3,1410.5,1703.7,1472.8,1437.8,1438.7,1329.2,1330.2,1399.3,1236,1093.4,1187,1582.8,1634.2,1432.8,1677.5
ACP1,1431,1343.8,1560.1,1088.2,1313.7,1072.1,1151.6,1305.7,1009.9,1539.1,1307.6,1200.4,1576.1,1296.2,1619.9,1194.4,1608.8,1605.1,1535
ACP1,1656.2,1673.2,1771.5,1705.3,1792.9,1770.9,1746.2,2147,1622.2,2029.7,2052.5,1812.2,1779.5,1882.2,1900.2,1834.6,1855.3,1749.5,1715.7
IER3,3960.1,4038,3995.8,3889.6,4437.4,3519,3868.8,4886.8,3859.5,4246.7,4507.2,4628.4,3563.7,3272.4,3663.9,7135.9,5586.7,5932.5,6364.9
EIF2B1,1289.7,1058.6,1087,1328.2,1028.8,927.8,1108.2,1004.2,1052.8,1090.8,1054.1,1059.1,1046.1,1103.2,1251.4,1048.7,981.8,1160.3,1068.6
CYB5B,557.8,281.4,278,272.9,597.8,307.8,243.1,204.1,568.6,585.9,328.2,587.1,807.1,516.2,567.7,329.9,506.3,532.4,632.8
CYB5B,500.5,521.1,511.5,512.1,518.6,385.2,450.9,372.1,441.7,603.4,408.8,510.9,520.7,507.7,559.4,336,484.5,588.2,510.7
FXR1,3029.6,2152.8,2244.9,1938,3884.4,886.4,952.4,1067.8,2798.6,2913.9,2586.9,3565.7,2664,2532.1,3093.4,2623.7,2588.2,2015.1,2202.5
FXR1,1320.8,1130.7,1113.3,1163,1524.7,1281.3,1293.1,1237.2,1577.2,1413.3,1388.8,1522.5,1516.7,1374,1654.8,1130.6,1286.7,1196.6,1283.8
FXR1,3316.5,4241.5,4553.3,4251.9,3458.3,3875.9,4345.9,4446.3,4428.6,4599.8,4561.6,3831.7,4178.6,4395.8,4220,3306,3716.2,3752.2,3742.1
CPSF1,112.3,12.8,62.7,152.7,36.4,19.5,20,34.4,57.6,76.7,39.1,134.7,90,10.3,126.6,169.2,20.3,17.2,44.1
CPSF1,1020.4,889.3,1013.2,910.7,838,1347.3,1430.9,1133.9,902.2,826.2,919.8,968.8,734.3,691.7,648,1055.9,839,981.7,851.9
CLPTM1,636.8,390.5,382.1,358.2,182,342.6,313,290,347.4,383.2,256.6,598.1,378.4,296.5,335,553.3,400.6,417.4,358.9
BST2,49.3,51.4,27.9,35.1,24,53.4,27,14.9,27.5,16.9,20.3,11.1,11.7,36.5,7.8,10.4,26.2,22.5,66.8
IFNGR2,1808.8,1808.3,1921.8,1779.8,2061,1701.2,1754.6,1835.3,2058,2011.8,1972.5,2242.8,2367.1,2656.7,2434.4,2931.5,4635.4,4455,4235.3
KDM3B,892.9,979,1186.5,1273.5,1216.8,842.7,956.3,1121.4,1236.6,1036.2,1109.1,1238.4,1082.7,1208.1,1536.1,1057.9,1091.7,1091.5,1093.4
TSTA3,1049.9,681.4,650.4,594.2,814.2,885.2,844.5,967.3,648.5,845.5,661.4,847.1,747.8,711.2,808,919.5,702.9,778.9,741.4
TNC,16.7,5.8,6.5,10.9,24.8,23.7,15.7,17.7,23.9,14.7,15.2,23.3,8.5,10,12.1,9.5,14.3,20.5,40.7
SCARB2,1698.5,979.7,909.7,928.1,1736.6,351.9,380.3,352.5,725.1,841,924.8,1341.9,1236.3,1053.3,1301.5,1138.6,811.1,746.6,930.4
SCARB2,788.8,351.6,366.1,420,690.3,248.7,174.1,196.7,504,432.9,443.7,779,533.9,614.5,632.8,695.9,383.3,385.5,337
JAK1,1969.2,2487.5,2546.7,2375.1,2387,2375.4,2541.5,2072.6,1789.2,2107.7,2068.7,2071.5,2249.5,2119.6,2232.4,3166.2,3335,3238.9,3384.2
UBE2L6,952.5,754.9,685.6,810,1295.9,741.7,667.5,692.1,782.2,654.1,765.8,1265.8,776.9,835.6,742.8,1233,804.9,985,809.2
KRT19,13867.5,20419.2,18225.3,18845.3,14744.8,17036.1,18094.2,19091.1,17999.5,15526.1,16964.7,16280.6,15252.9,14909.5,14987.9,13491.4,17023.9,18537,18552.4
PACSIN2,5827.2,6726.8,6691.3,6712.1,3487.8,5035.7,5144.8,4913.6,6473.2,6000.4,6235.8,5203.2,6346.2,6412,6217.8,5438.1,6302.1,6031.9,6576.5
COPS5,1295.4,1919.3,1952.7,1929.1,1556.3,1606.3,1797.3,1983.6,2507.8,2154.5,2291.6,1467.7,1710.5,1714.6,2161.3,1358.8,2038.8,1774.5,1936.4
CNIH1,3192.5,2958.5,3057.1,3077.5,3152,3551.4,3158.3,3419.2,3863.6,3661.6,2870.8,3172,3185.7,3111.7,3184.6,2817.6,3481.7,3357.2,2973.9
HSPG2,104.9,26.8,34.2,67.3,33.2,5.5,48.5,8,10,28.4,51.8,39,66,102.6,92.1,102.8,10.1,50.7,5.6
HSPG2,921.8,670.6,899.1,459.2,713.9,895.1,817,766.2,573,628.5,559.1,871.5,612.2,550.8,636.1,1101.5,680.1,497.5,433
ITGA6,2141.7,2485.9,2081.3,1794.4,2801,3507.2,2892.4,2759.5,2998.2,3060.9,2419.1,2449.6,2878.2,2550.5,2929.3,3011.1,2577.8,2331.2,2099.7
ARL1,385.6,317,318.5,255.3,532.7,359.8,348.8,374.3,411.5,473.6,409.6,443.1,484.1,488.8,399.6,401.9,416.2,369.8,344
ARL1,901.3,1091.7,1036.1,830.3,721.2,966.8,1073.8,1033.8,747.4,1075.6,1106,985.5,1041.3,1227.1,1165.8,676.6,1065,658.9,844
ARL1,1482.5,1308.8,1236.5,1023.5,1506.7,1411.8,1240,1117.3,1234.7,1589.9,1466.2,1318.1,1678.1,1619.3,1357.7,1420.2,1377.6,1364.1,1431.5
ACSL3,548.4,722.4,765.4,675.5,580.2,822.9,717.5,874.4,674.7,768.7,935.6,571,745.2,720.7,876.6,520.3,734.3,722.9,676
ACSL3,642.8,509.6,531.8,527.3,561.6,558.8,544.8,385.7,798,657.3,527.9,612,748.9,675.5,660.6,589.6,512.8,513.9,529.7
ACSL3,1830.8,1401.3,1624.9,1386.1,1575.6,1552.9,1531.3,1368.3,1684.1,1617.2,1382.7,1508.5,1450.9,1352.5,1534.3,1458.9,1524.6,1469.2,1470.3
SMC4,2467.6,2341.1,1931.3,1998.6,2671,1632.5,1634.8,1515.9,2364.6,2468.4,2304.5,2293.8,2314.8,2294.1,2291.8,2158.8,1711.8,1737.6,1732.9
SMC4,3234.7,3027.6,3270,3413.8,3014.6,3339.5,3476.3,3278,3349.2,3265.3,2929.9,3128.7,2991.6,2638.4,2888.8,2373,2617.4,2328.7,2234.8
RPS17,19522.3,32296,27716.4,41818.9,26949.4,22092.7,25609.9,27041.6,23914.7,22828.9,32305,27419.7,29297.4,28847.4,30221.3,21947.7,21267.9,27910.7,29420.7
TIMP1,4287.5,3546.2,3217.7,2833.8,3729,3834.7,3658.5,3477.6,3836.3,3271,2832,3940.5,3131.9,3016.3,2592,4229.9,3991.9,3711.1,3462.4
GJA1,2416,795,891.1,839.2,2261.5,1013.6,880.4,815.5,733.7,1022.8,1306,2643.6,1070.3,1295.4,1239.6,3322.3,1085.4,1048.8,1248.2
MARCKS,260.7,274.4,281.9,399.3,243,262,199.3,159.1,322.5,348,201.3,270.2,215.6,177.3,195.4,214.1,363.9,355.5,282.4
MARCKS,2976.6,2369.5,2426.8,1946.7,2967.1,2275.6,1942.5,2163.7,2606.1,2729,2182.8,2923.1,2756.5,2736.6,2826.4,2847,2849.6,2889.4,2739.4
MARCKS,604.7,520.6,418.8,312.8,791.1,688.6,424.5,445.1,665.7,559.2,557.7,580,611.2,586.3,604.1,724.5,737.4,771.2,423.6
USP14,998.8,775.5,785.9,600,658.6,659.4,729.3,701.8,479.3,558.2,510,683.2,823.9,968,768,703,639.5,742.7,624.6
USP14,3446.5,3085.9,3107.8,3490.3,2962.7,2237,2324.5,2560,2706.5,2744.8,2811,2470.9,2833.8,2910.5,3407.5,2803.2,2592.5,2733.6,2808.5
GYS1,492.6,383.2,379.4,449,452.4,405.2,572,418.8,495.6,531,443.4,434.7,467.2,370.7,466.4,486.3,475.7,425.2,391.3
AKAP1,1083.4,1371.9,1118.7,1133,1009.5,1668.4,1903.5,1800.5,1227.1,1349,1287.9,1113.6,1123,1086.7,1094.2,1141,1273.3,1313.3,1331.8
AKAP1,1587.9,1809.2,1745.1,1606.8,1319.2,2933.4,2374.5,2743.2,2209.9,1819.8,1590.7,1451.4,1806.8,1630.4,1742.5,1280.8,1895.8,1781.8,1869.2
PSMA1,4685.3,7917.2,7485.8,8850.4,4773,4675.3,5621,7112.9,9000.3,7637.7,7810.4,4291.8,8329.9,8470,8401.6,5335.8,8389.7,9420.6,8478.9
HMCES,204.2,244.8,187.7,162.8,264.5,238.9,309.6,288,336.4,173.4,315.5,245.9,256.5,259.1,265.2,249.7,273.7,215.8,233.6
HMCES,850.1,1136.3,1101.6,1311,847.5,1064.5,1013.6,1103.5,1421.1,1077.6,1043.7,985.3,1044.9,1198.4,1179.8,876.9,1172.9,1256.4,1254.4
SRRT,63.8,7.3,13.2,19,101.4,50.9,27.4,20.3,18.6,86.6,36.9,83.8,127.7,77.5,73.6,117.5,41.7,63.1,23.3
SRRT,695.4,824.8,843.7,868,862,999.6,923.5,1004.8,790.8,801.8,808.8,881.4,851.2,900.5,795.4,801.7,830.3,895.2,898
DLG5,540.2,634.5,632.6,477.9,557.1,583.4,604.3,566.9,382.5,457.8,536,586.7,566.8,571.6,441.2,663.6,537.4,581.6,549.7
PMPCB,1381,2295.2,1307.7,2068.1,1702.3,1184.6,1521.2,1373.8,1657,1066.3,1530.8,1651.2,2271.5,1835,1549.8,1051.3,1760.8,1913.7,927
TOX4,286.7,387.1,387.7,493.7,237.2,215.1,191.8,242.1,280,283,374.1,305.8,326.3,298.7,342.7,239.7,347.3,374.2,388.1
TOX4,569.3,705.9,665,559.9,569.2,675.7,853.3,700.1,786.4,811.6,687.9,847,890.9,1035.2,676.7,953,710.6,764.8,683.8
TOX4,300.2,284.9,271.5,216.6,282.8,409,324.6,384.9,296.9,322.6,277.9,328.8,271.5,251.2,286.1,306.7,320.9,247.3,256.8
API5,494.9,320.1,302.9,353.4,443.5,293.2,317.8,340.2,483,456,505,466.2,602.8,579.4,560.9,416,392.4,516.2,381.1
API5,953,1069.5,1026.8,1064.6,785.6,1069,1299.9,1196.8,1200.3,1242.5,1363.2,1054.8,1006.5,1066.8,1149,869.7,938.7,908.1,1015.7
TPD52,899.4,543.8,534.8,490,1107.7,411.2,297,389.7,875.4,756.2,709.2,875,862.5,839.3,856.7,877.7,676.6,629.7,560.7
TPD52,994.5,764.3,829.3,687.7,1069,739.9,675.6,593.2,933.1,1130.7,898.7,909,1051.3,982.7,997.1,975,959.9,870,831.5
TPD52,1888.4,1935,1958.1,1621.2,1963,2213.3,2101.2,1779.9,1672.7,2040.6,1673.5,2009.4,1942.8,1906.3,1932.5,1733.1,1821.5,1730.9,1758.5
TPD52,38,72.1,66.4,5.7,99.6,60.8,46.4,48.3,57.2,51.3,36.2,58.9,74.8,23.7,50,37.1,69.1,55.9,72.4
SIGMAR1,999,1238,1195.1,825.4,702.6,762.2,926,813.9,837.5,1122.3,640.2,1068.7,560.2,1048.4,836.9,636.7,943.5,1174.6,1086.9
EGR1,127.9,252.4,20.3,76.6,129.5,181,214.8,152,144.6,141.5,96.5,102.2,133,125.8,131.1,125.2,114,34.1,82
EGR1,877.5,1242.1,1378,1192.3,814.3,1012.7,871.7,735.7,1008.5,1017.6,788.7,892.6,761.4,856.4,778.8,635.4,792.9,680.5,643.6
PNP,1632,1743.6,1599.1,1669.8,1593.3,2063,1898.7,1960.6,1998.4,1977.7,2032.6,1412.7,1709.4,1752.1,1753.1,1833.4,2476.3,2431.5,2318.6
SRSF4,1276.7,1448.5,1384.7,1479.3,1276,1614.8,1917.8,1983.3,1381,1472.6,1590.3,1265.5,1555.3,1444.2,1517.2,1442.5,1516.8,1417.6,1327.1
DNMT1,749.9,834.6,802.3,688.1,576.3,606.2,745.6,605.6,556.2,623.4,582.6,605.6,643.6,693.3,636.6,554.7,557.5,663.2,502
SRSF9,2233,2811.8,2718.1,2176.1,3059.9,3287.6,3252.3,2421.8,3037.3,3178.9,2407.7,2674.6,2637.3,2548.6,2230.8,2337.2,3111.1,3016.8,2447.3
PSMC6,808.3,1069.7,1068.7,982.9,1054.4,1010.5,1121.2,992.4,794.2,1189.1,1109.3,1053.4,1186.2,1199,1086.5,1160.2,1203.4,1316.6,1168
CCND3,723.1,573,429.6,733.4,751.5,699.2,743.6,780.9,823.6,691,663.1,750.8,547.2,627.2,507.2,689,726.4,771.7,621.5
PGRMC2,359.5,519.8,336.6,567.7,462.1,565,548.2,579.4,473.7,408.3,516.8,362.4,453,482.2,618.2,338.8,337.2,356.1,457.7
PPP1R10,36.4,284,223.3,230.3,39.5,26.2,32,46.9,97.9,105.1,88,28.5,46.3,37.6,122.6,49,147.3,31.7,100.1
PPP1R10,345.9,367.9,412.8,473.5,272.3,446.3,435.7,324.9,388,443.4,416.2,301.5,360.4,490.7,442.5,302.8,420.9,418.9,401.4
ENTPD6,373.7,377,405.4,472.7,430.4,531,602.3,597,415.7,381.4,398.4,454.7,333.1,341.2,296.7,390,434.8,496.2,396.4
PSMD7,3256.9,2834.3,3058,2676.8,2200.2,3222.1,2806.5,2834.3,2279.6,2698.2,2578.7,2818.4,2802.7,2679.3,2664.2,1694.4,2650.3,2936.6,3457.5
PEX19,328.8,293.5,315.9,277.7,380.7,282.7,347.9,320.9,359.3,396.5,392.6,473.4,291.6,397,439.4,406.4,377.6,388.8,341.1
PEX19,349.7,338.5,291.2,281.7,282.8,284.3,314.5,236.3,292.6,218.6,407.2,236.5,281.7,285.3,269.6,185.6,272.9,342.7,201.8
NIPSNAP1,659.7,716,682.9,762.2,824.9,513.5,545.9,620.3,671.3,558.7,704.6,823.5,618.2,621.4,651.7,876.8,629.2,661.9,594.2
NIPSNAP1,1619.8,1601.5,2114.4,2387.6,2258.5,2365.2,2534.2,2244.6,1636.9,1729.7,1846.5,2088.8,1948.4,2249.9,1676,1908.3,1700,1939.5,2107.3
MYBL2,1035.8,1076.3,1204.1,1032.7,825.1,1542.8,1107.9,1218.8,902.1,838.9,934.6,550.4,950.9,743.1,919.1,874.9,1109.9,802.6,920.2
RANBP2,1230.9,621.7,687.4,701.6,1310.3,389.8,304.1,340.7,605.8,666,562.8,1213.3,600.1,668.6,678.5,1653,627,638.9,599.5
RANBP2,355.2,316,283.6,360.2,400.9,415.8,427.4,355.5,618.9,397.4,327.8,331.5,393.2,448.6,424.7,361.3,362.4,348,326.6
RANBP2,929.3,684.8,748.8,671,887.8,1065.8,1080.4,885,813.5,907.6,782.8,1040.4,938.9,945,797.4,1026.6,886.4,805.2,695.2
TUBG1,1626.7,1898.8,1768.4,2015.7,1229,1637.7,2266.3,2016,1549.5,1755.3,1785.2,1466,1308.3,1214.2,1389.5,1399.1,1980.1,1798.5,1848.7
ACIN1,145.6,172.6,127,257.8,278.8,246.3,226.2,227.5,203.1,170.8,201.2,175.7,205.3,135.9,206.6,106.1,189.5,193.9,209.1
SNX1,819.8,836.1,923.4,1185.4,1087,856.2,901.4,926.4,981.2,909.7,798,1012,667.3,881.5,779.2,1018,927.9,919.4,932.9
MRPL49,2954.7,3229,3373.4,3421,2850,3045.1,3402.4,3094.9,2793.5,2827.6,2769.6,2758.7,2684.3,2437,2327.7,2606.2,3401.9,3562.7,2913.8
EPB41L2,511.8,274.4,321.7,258,483.1,164.8,140.2,81.5,240.9,271,286.7,543.8,360.8,413.5,451.6,695.3,299,311.9,303.5
EPB41L2,934.3,652.2,729.8,1230.7,1051.6,703.5,919,525.6,918.7,751.4,634.9,1152.8,844.6,1419.5,953.2,623.4,768.5,969.7,514.1
LAPTM5,50.1,13.8,70.9,19.9,16.4,16,26.1,29.8,56.5,77.3,29.2,13.9,88.4,21.5,93.9,27,23.2,24.4,24.1
LAPTM5,103.1,57.9,104.6,42.9,129.1,159.8,160.5,121,221.1,159.7,125.6,98.5,121.8,201.3,140.4,156.5,125.7,153.3,78.6
GALNT1,2452.5,2304.8,2279.6,1913.8,2437.5,2114.3,2063.7,2414.6,2282.4,2856.4,2957,2636.5,2367.9,2378.1,2265.1,2489.8,2158.4,1878.6,1788.9
GALNT1,2919.3,3186.4,3083.3,3488.6,3192.4,1852.8,1889.5,1922.6,2400.8,2318.3,3389,3262.1,3298.9,2923.9,2784,2760.8,2185.3,2294.2,2311.2
GALNT1,2013.1,1961.6,1987,1896.2,2197.6,2166.6,2237.3,2372.1,1628.2,1954.8,2147.3,2353.2,2320,2000,2170.1,2067.8,1922.9,1767.7,1836.2
CDC123,2342,2429.6,2205.9,2094.2,1553.3,2761.8,2279.6,2261.4,2122.7,2524.1,2108.9,1815.4,2184.4,2309.6,2049.1,1949.3,2203,2136,1659.7
ELAVL1,1861.9,2109.3,1990.7,2217.2,2224.3,2054.9,2209.6,2474.4,1796.3,1788.3,2421.9,1967.9,1827.2,1860,2067.2,1905,2156.1,2479.4,2345.6
ELAVL1,420.7,455,356.4,476.9,438,302,217.6,271.3,370.2,442.2,444.4,460.9,432.2,364.2,345.7,536.1,442.7,488.1,459.2
KIAA0100,380.4,410.1,368.2,480.2,376.5,254.9,246.8,229.6,371.4,297.1,280.8,379.2,317.8,320.8,393.4,351,249.7,285.3,358.7
KIAA0100,629,869,821.8,788.2,556,552.1,610.7,556.2,581.5,523.1,592.9,510.4,588.8,568.9,598.4,566.7,671.1,754.8,692.7
TPR,1553.6,1223.8,1423.7,1307.2,1142.9,978.1,1139.9,1066.7,1376.6,1480.6,1346.4,1616.9,1416.4,1336,1435.6,1310.5,1026.7,1111.3,1019.8
TPR,803.9,613.1,612.5,604.2,855.4,816.8,924.9,572.2,867.2,875.3,856.3,740.5,726.1,712.1,775.5,1062.7,693.3,739.5,686.6
CLCN3,402.9,687,778.8,893.7,459.7,332.2,404.3,426,516.9,551.8,645.4,410.1,447.7,418.8,573.6,547.1,418.9,467.4,490.3
