IDENTIFIER,GSM14498,GSM14499,GSM14500,GSM14501,GSM14513,GSM14514,GSM14515,GSM14516,GSM14506,GSM14507,GSM14508,GSM14502,GSM14503,GSM14504,GSM14505,GSM14509,GSM14510,GSM14511,GSM14512
2-Sep,7198.3,6040.9,5749.3,4316.5,5886.5,5120.1,4729,5067.2,4634.2,6021.1,5379.5,6812.9,5111,5460.4,5075.1,6578.7,4840.5,5215.2,4628.3
HNRNPA1,14087.9,20953.2,20265.3,21217.6,16249.9,19149.3,20691.9,21291.1,16151.4,17434.1,21102.9,16897.1,21848.9,23160.9,23879.3,14381,15070.8,18540.4,21058
RPS27A,18617.9,20289.4,20274.2,20945.6,18392.3,18537.8,22003.4,23124.4,14740.4,16519.6,18306.5,20117.9,20043.8,18278.7,22371,18399.9,17031.5,18829.3,21281.7
RPS13,19271.9,25986.1,26890.5,28430.7,23174.4,19306.9,22538,23263.7,22664.5,21033.2,21883.5,22292.6,20952.3,22312.9,22368.5,18658.3,19381.7,21809.1,24438.4
FAU,9385.9,16311.8,15218.5,13809.3,10460.4,11576.9,11863.5,11092.8,10609.3,9885.4,7780,11049.9,10398.5,10101.6,8328.1,7635.5,13115.3,14687.2,13011.5
TARDBP,2415.9,2160.6,2181.3,2283.5,1807.5,2724.8,2717.9,2623.5,2588,2358.8,2293.6,2672.2,2304.6,2262.7,2182.1,2299,2212.5,2231.1,1924.2
CFL1,21849,24989.9,26624.9,32204.4,22563,22661.8,24400.5,25996.8,20627.4,20672.8,21490.2,28122.3,24470.2,23149.4,26847.4,16929.5,18713.7,23728.5,21677.6
RPL18,15073.8,22156,20946.2,19730.2,14665.4,16310.4,18137.7,18318.5,17279.5,15450.9,17321.5,16446.4,15673.5,17363.2,19063.1,15636.4,18963.2,22969.3,23226.8
EIF3F,7131.3,9576.3,9791.5,10836.9,7679.6,8814.2,9380.4,9548.3,7916.8,7707,8192.4,7155.4,7642.3,8109,8124.7,6497.9,7574.1,9233.9,8950.9
RPS5,11305.5,15461.3,14823.7,16190.1,12651.5,9482,12471.1,10450.6,12191.6,11966.2,11190.7,13562.7,14134.7,13446,15137.1,9971.8,12373.4,14934.8,14970.3
RPL27,18475.5,23889.2,26056.8,30953.2,20622.2,22299.2,22235.2,26023.7,17967.1,19130.9,22696.3,23725.3,18829.2,20696.4,22520,19910.2,18732.4,21648.1,21627.1
RPL34,8292,14417.5,13010,15581.6,12742.8,10864.2,12342.3,14068.5,10784,12001.2,12996.5,12190.5,10194.3,11480.7,12447.4,10361.7,13051.2,12488,11678.8
NARS,7152.9,6773.2,6916.7,6510.6,6513.9,6099.2,6389.3,5878,6051.8,6670.3,5785.6,6496,7175.8,6913.6,6721.9,5346.7,6208.2,6060.3,5658.9
STARD7,2734.5,3600.8,3489.2,3516.3,2503.5,2838.5,3016.9,3271.9,2616.8,2586.8,2538.7,2329.6,3751.3,3384.5,3556.3,2098.3,2483.1,2626.1,2568.6
RPL19,25971.4,35841.4,39999.1,46171,25739,26604.6,33624.5,37537.5,30211.5,27505.5,33089.4,29686,28296,32141.2,32296,23999.5,24990.6,32310.1,32686.9
SLC25A3,8889.5,12314,12612.2,12915.7,9285.2,11006.3,11659.2,13178.4,10846.5,10376,10778.7,9155.2,10445.5,10518.7,10425.5,7996.7,10329.4,10712.3,11123.5
RPS11,18987.3,25777.1,26201.6,27945.9,22624.3,18861,19769.4,21900.4,20072.1,18243.5,21016.4,24555.4,17474.2,18198.4,19470.3,18288.1,21315.6,23738.4,25349.8
